比容量(mAh/g)	电压(V)	
179.01	1.6397	
179.20	1.6402	
179.38	1.6402	
179.56	1.6411	
179.75	1.6414	
179.93	1.6415	
180.11	1.6417	
180.30	1.6421	
180.48	1.6419	
180.66	1.6421	
180.85	1.6421	
181.03	1.6407	
181.21	1.6425	
181.39	1.6425	
181.58	1.6448	
181.76	1.6453	
181.94	1.6453	
182.13	1.6449	
182.31	1.6449	
182.49	1.6438	
182.68	1.6438	
182.86	1.6433	
183.04	1.5262	
183.23	1.3350	
183.41	1.3446	
183.59	1.3940	
183.78	1.4381	
183.96	1.4697	
184.14	1.5072	
184.33	1.5414	
184.51	1.5677	
184.69	1.5858	
184.88	1.5987	
185.06	1.6082	
185.24	1.6144	
185.43	1.6197	
185.61	1.6240	
185.79	1.6269	
185.98	1.6297	
186.16	1.6310	
186.34	1.6330	
186.53	1.6339	
186.71	1.6355	
186.89	1.6355	
187.07	1.6362	
187.26	1.6374	
187.44	1.6384	
187.62	1.6386	
187.81	1.6398	
187.99	1.6402	
188.17	1.6431	
188.36	1.6448	
188.54	1.6453	
188.72	1.6453	
188.91	1.6448	
189.09	1.6465	
189.27	1.6466	
189.46	1.6460	
189.64	1.6457	
189.82	1.6462	
190.01	1.6472	
190.19	1.6487	
190.37	1.6478	
190.56	1.6482	
190.74	1.6483	
190.92	1.6471	
191.11	1.6464	
191.29	1.6463	
191.47	1.6457	
191.66	1.6453	
191.84	1.6453	
192.02	1.6453	
192.21	1.6452	
192.39	1.6447	
192.57	1.6448	
192.75	1.3407	
192.94	1.3191	
193.12	1.3647	
193.30	1.4150	
193.49	1.4514	
193.67	1.4827	
193.85	1.5202	
194.04	1.5511	
194.22	1.5729	
194.40	1.5876	
194.59	1.5990	
194.77	1.6074	
194.95	1.6137	
195.14	1.6184	
195.32	1.6217	
195.50	1.6244	
195.69	1.6261	
195.87	1.6281	
196.05	1.6295	
196.24	1.6312	
196.42	1.6295	
196.60	1.6320	
196.79	1.6331	
196.97	1.6346	
197.15	1.6356	
197.34	1.6361	
197.52	1.6369	
197.70	1.6368	
197.89	1.6369	
198.07	1.6362	
198.25	1.6370	
198.43	1.6370	
198.62	1.6374	
198.80	1.6379	
198.98	1.6383	
199.17	1.6392	
199.35	1.6396	
199.53	1.6394	
199.72	1.6395	
199.90	1.6403	
200.08	1.6405	
200.27	1.6403	
200.45	1.6399	
200.63	1.6390	
200.82	1.6398	
201.00	1.6401	
201.18	1.6402	
201.37	1.6404	
201.55	1.6409	
201.73	1.6417	
201.92	1.6419	
202.10	1.6414	
202.28	1.6419	
202.47	1.3414	
202.65	1.3091	
202.83	1.3459	
203.02	1.3974	
203.20	1.4417	
203.38	1.4713	
203.57	1.5068	
203.75	1.5406	
203.93	1.5652	
204.11	1.5823	
204.30	1.5947	
204.48	1.6046	
204.66	1.6119	
204.85	1.6167	
205.03	1.6189	
205.21	1.6228	
205.40	1.6256	
205.58	1.6285	
205.76	1.6311	
205.95	1.6324	
206.13	1.6327	
206.31	1.6338	
206.50	1.6356	
206.68	1.6375	
206.86	1.6406	
207.05	1.6427	
207.23	1.6428	
207.41	1.6441	
207.60	1.6449	
207.78	1.6455	
207.96	1.6474	
208.15	1.6477	
208.33	1.6482	
208.51	1.6489	
208.70	1.6483	
208.88	1.6475	
209.06	1.6471	
209.25	1.6469	
209.43	1.6473	
209.61	1.6473	
209.80	1.6473	
209.98	1.6466	
210.16	1.6477	
210.34	1.6504	
210.53	1.6509	
210.71	1.6520	
210.89	1.6523	
211.08	1.6523	
211.26	1.6535	
211.44	1.6532	
211.63	1.6544	
211.81	1.6554	
211.99	1.6558	
212.18	1.6554	
212.36	1.6553	
212.54	1.6558	
212.73	1.6549	
212.91	1.3314	
213.09	1.3664	
213.28	1.4188	
213.46	1.4569	
213.64	1.4904	
213.83	1.5259	
214.01	1.5569	
214.19	1.5798	
214.38	1.5971	
214.56	1.6097	
214.74	1.6166	
214.93	1.6217	
215.11	1.6263	
215.29	1.6290	
215.48	1.6337	
215.66	1.6374	
215.84	1.6388	
216.02	1.6384	
216.21	1.6379	
216.39	1.6398	
216.57	1.6403	
216.76	1.6417	
216.94	1.6422	
217.12	1.6440	
217.31	1.6456	
